Fold,Scenario,Model,model__n_estimators,model__min_samples_split,model__max_depth,model__learning_rate,model__weights,model__n_neighbors,model__solver,model__C
5,D_Augment_1.0,KNN,,,,,distance,9.0,,
5,D_Augment_2.0,KNN,,,,,distance,9.0,,
5,D_Augment_4.0,KNN,,,,,distance,9.0,,
5,A_Baseline,LR,,,,,,,liblinear,1.0
5,B_Fidelity,LR,,,,,,,lbfgs,10.0
5,C_Scale,LR,,,,,,,lbfgs,10.0
5,D_Augment_0.5,LR,,,,,,,liblinear,0.1
5,D_Augment_1.0,LR,,,,,,,lbfgs,10.0
5,D_Augment_2.0,LR,,,,,,,liblinear,1.0
5,D_Augment_4.0,LR,,,,,,,lbfgs,10.0
6,A_Baseline,RF,50.0,5.0,,,,,,
6,B_Fidelity,RF,50.0,2.0,,,,,,
6,C_Scale,RF,200.0,2.0,10.0,,,,,
6,D_Augment_0.5,RF,200.0,5.0,,,,,,
6,D_Augment_1.0,RF,200.0,5.0,,,,,,
6,D_Augment_2.0,RF,200.0,5.0,,,,,,
6,D_Augment_4.0,RF,50.0,2.0,,,,,,
6,A_Baseline,XGB,50.0,,3.0,0.01,,,,
6,B_Fidelity,XGB,50.0,,3.0,0.01,,,,
6,C_Scale,XGB,50.0,,3.0,0.01,,,,
6,D_Augment_0.5,XGB,100.0,,7.0,0.01,,,,
6,D_Augment_1.0,XGB,50.0,,3.0,0.01,,,,
6,D_Augment_2.0,XGB,100.0,,7.0,0.01,,,,
6,D_Augment_4.0,XGB,100.0,,7.0,0.01,,,,
6,A_Baseline,KNN,,,,,distance,3.0,,
6,B_Fidelity,KNN,,,,,distance,7.0,,
6,C_Scale,KNN,,,,,distance,9.0,,
6,D_Augment_0.5,KNN,,,,,distance,9.0,,
6,D_Augment_1.0,KNN,,,,,distance,9.0,,
6,D_Augment_2.0,KNN,,,,,distance,9.0,,
6,D_Augment_4.0,KNN,,,,,distance,9.0,,
6,A_Baseline,LR,,,,,,,liblinear,1.0
6,B_Fidelity,LR,,,,,,,lbfgs,0.1
6,C_Scale,LR,,,,,,,lbfgs,0.1
6,D_Augment_0.5,LR,,,,,,,liblinear,0.1
6,D_Augment_1.0,LR,,,,,,,liblinear,1.0
6,D_Augment_2.0,LR,,,,,,,lbfgs,10.0
6,D_Augment_4.0,LR,,,,,,,lbfgs,10.0
7,A_Baseline,RF,200.0,2.0,10.0,,,,,
7,B_Fidelity,RF,200.0,5.0,,,,,,
7,C_Scale,RF,200.0,2.0,10.0,,,,,
7,D_Augment_0.5,RF,200.0,2.0,10.0,,,,,
7,D_Augment_1.0,RF,200.0,2.0,10.0,,,,,
7,D_Augment_2.0,RF,200.0,2.0,10.0,,,,,
7,D_Augment_4.0,RF,100.0,2.0,,,,,,
7,A_Baseline,XGB,100.0,,7.0,0.01,,,,
7,B_Fidelity,XGB,50.0,,3.0,0.01,,,,
7,C_Scale,XGB,100.0,,3.0,0.01,,,,
7,D_Augment_0.5,XGB,100.0,,7.0,0.01,,,,
7,D_Augment_1.0,XGB,50.0,,3.0,0.01,,,,
7,D_Augment_2.0,XGB,100.0,,3.0,0.01,,,,
7,D_Augment_4.0,XGB,100.0,,3.0,0.01,,,,
7,A_Baseline,KNN,,,,,distance,7.0,,
7,B_Fidelity,KNN,,,,,distance,9.0,,
7,C_Scale,KNN,,,,,distance,7.0,,
7,D_Augment_0.5,KNN,,,,,uniform,5.0,,
7,D_Augment_1.0,KNN,,,,,uniform,5.0,,
7,D_Augment_2.0,KNN,,,,,uniform,5.0,,
7,D_Augment_4.0,KNN,,,,,distance,9.0,,
7,A_Baseline,LR,,,,,,,liblinear,0.1
7,B_Fidelity,LR,,,,,,,liblinear,0.1
7,C_Scale,LR,,,,,,,liblinear,0.1
7,D_Augment_0.5,LR,,,,,,,lbfgs,10.0
7,D_Augment_1.0,LR,,,,,,,lbfgs,0.1
7,D_Augment_2.0,LR,,,,,,,lbfgs,10.0
7,D_Augment_4.0,LR,,,,,,,lbfgs,0.1
8,A_Baseline,RF,200.0,5.0,,,,,,
8,B_Fidelity,RF,100.0,2.0,,,,,,
8,C_Scale,RF,200.0,2.0,10.0,,,,,
8,D_Augment_0.5,RF,200.0,2.0,10.0,,,,,
8,D_Augment_1.0,RF,200.0,5.0,,,,,,
8,D_Augment_2.0,RF,50.0,2.0,,,,,,
8,D_Augment_4.0,RF,200.0,5.0,,,,,,
8,A_Baseline,XGB,50.0,,5.0,0.1,,,,
8,B_Fidelity,XGB,50.0,,5.0,0.1,,,,
8,C_Scale,XGB,50.0,,3.0,0.01,,,,
8,D_Augment_0.5,XGB,100.0,,3.0,0.01,,,,
8,D_Augment_1.0,XGB,100.0,,3.0,0.01,,,,
8,D_Augment_2.0,XGB,100.0,,3.0,0.01,,,,
8,D_Augment_4.0,XGB,50.0,,5.0,0.1,,,,
8,A_Baseline,KNN,,,,,distance,9.0,,
8,B_Fidelity,KNN,,,,,distance,7.0,,
8,C_Scale,KNN,,,,,distance,9.0,,
8,D_Augment_0.5,KNN,,,,,distance,7.0,,
8,D_Augment_1.0,KNN,,,,,distance,3.0,,
8,D_Augment_2.0,KNN,,,,,uniform,5.0,,
8,D_Augment_4.0,KNN,,,,,distance,9.0,,
8,A_Baseline,LR,,,,,,,liblinear,1.0
8,B_Fidelity,LR,,,,,,,liblinear,0.1
8,C_Scale,LR,,,,,,,liblinear,1.0
8,D_Augment_0.5,LR,,,,,,,lbfgs,0.1
8,D_Augment_1.0,LR,,,,,,,lbfgs,10.0
8,D_Augment_2.0,LR,,,,,,,liblinear,0.1
8,D_Augment_4.0,LR,,,,,,,lbfgs,10.0
9,A_Baseline,RF,200.0,5.0,,,,,,
9,B_Fidelity,RF,200.0,5.0,,,,,,
9,C_Scale,RF,200.0,5.0,,,,,,
9,D_Augment_0.5,RF,200.0,5.0,,,,,,
9,D_Augment_1.0,RF,200.0,2.0,10.0,,,,,
9,D_Augment_2.0,RF,100.0,2.0,,,,,,
9,D_Augment_4.0,RF,200.0,2.0,10.0,,,,,
9,A_Baseline,XGB,100.0,,3.0,0.01,,,,
9,B_Fidelity,XGB,50.0,,5.0,0.1,,,,
9,C_Scale,XGB,100.0,,3.0,0.01,,,,
9,D_Augment_0.5,XGB,100.0,,7.0,0.01,,,,
9,D_Augment_1.0,XGB,50.0,,5.0,0.1,,,,
9,D_Augment_2.0,XGB,100.0,,3.0,0.01,,,,
9,D_Augment_4.0,XGB,100.0,,3.0,0.01,,,,
9,A_Baseline,KNN,,,,,distance,3.0,,
9,B_Fidelity,KNN,,,,,distance,3.0,,
9,C_Scale,KNN,,,,,distance,9.0,,
9,D_Augment_0.5,KNN,,,,,distance,7.0,,
9,D_Augment_1.0,KNN,,,,,distance,3.0,,
9,D_Augment_2.0,KNN,,,,,distance,7.0,,
9,D_Augment_4.0,KNN,,,,,distance,7.0,,
9,A_Baseline,LR,,,,,,,liblinear,1.0
9,B_Fidelity,LR,,,,,,,lbfgs,10.0
9,C_Scale,LR,,,,,,,liblinear,1.0
9,D_Augment_0.5,LR,,,,,,,liblinear,1.0
9,D_Augment_1.0,LR,,,,,,,liblinear,0.1
9,D_Augment_2.0,LR,,,,,,,lbfgs,10.0
